,Date,Text
0,2021-02-03 23:03:08,同じCMをいつまでも流す嫌味な会社
1,2021-02-03 20:02:05,ありがとう、確かに空売りしてる人少ないね
2,2021-02-03 19:03:00,信用の貸借倍率だよ
3,2021-02-03 18:00:03,これって何の倍率なん？
4,2021-02-03 17:04:00,倍率をみれば　買うのは　とにかく　今じゃない
5,2021-02-02 20:00:02,61倍
6,2021-02-02 16:05:08,"ここは、毎日株価をチェックするような銘柄じゃないと思う。数ヶ月とか数年単価で大きくなっていくイメージ。

短期での値幅求めるなら、さっと他に切りかえた方がストレスフリーかもしれない。

とりあえず、半年後位目処に、新高値更新を。"
7,2021-02-02 16:01:04,動きません…泣
8,2021-02-02 11:03:02,"少し、上向きに動くのか？
今日こそ動いてほしい。"
9,2021-02-02 08:05:07,"オービックリ…笑笑
そうなれば嬉しい♡"
10,2021-02-02 08:04:06,今日はオービックリの2万円台復帰でお願いします
11,2021-02-02 08:03:08,"オービックって無借金経営だろ
株価　株主対策要らねえわ"
12,2021-02-01 23:05:08,"上昇トレンドに転換するまで一か月かかる
二度と投資しない銘柄"
13,2021-02-01 22:00:06,"目標株価　　17650円
2000円の割高"
14,2021-02-01 21:04:08,終わってる　魅力ない企業
15,2021-02-01 20:01:01,"割高やね（笑）俺の邪道指数では15,000円です?????沖縄もクラスターでたーいへんです❢"
16,2021-02-01 14:02:07,"寿命が短い…思い当たります。笑
キリンさん、面白いですね。"
17,2021-02-01 14:02:07,プラテンしたよ！
18,2021-02-01 14:02:02,"あと１０００円位落ちないと

本格的に反転はできないんじゃないの？"
19,2021-02-01 14:01:06,"悲観的だと寿命が短いらしいよ
コップに半分しか水がない　×
コップに半分も水が残ってる　◯"
20,2021-02-01 14:00:05,しそーだけど、絶対しないような気がする。
21,2021-02-01 13:05:05,プラてーん、待ってるよ〜。
22,2021-02-01 13:00:00,"プラ転なんてあるんかい⁈
落ちてくばかり、反転してくれ‼︎"
23,2021-02-01 12:05:01,"あれっ、プラテンするん？
まだ約定してない、とゆーか欲張りすぎの無理な指値だったかな？
結構手に入れたから、上値は追わないんよ
3年先を見といてね"
24,2021-02-01 11:03:02,憧れていた値嵩株。21000円で、買ったら含み損拡大中。株辛い。
25,2021-02-01 10:03:05,下で集めて行ったら、遠くない将来素晴らしいことになりそう。
26,2021-02-01 10:02:06,ボリンジャー3σを大幅に割る下落。短期では反発すると思いますが、先日の好決算でも下げと調整に入っているようですので、当面今の下落トレンドが続く限りは買い増しすべきではないと思います。
27,2021-02-01 09:02:04,"下で待ってるけど
今日はもう刺さらないん？
刺さるとうれしいのか、うれしくないのかよくわからないけど"
28,2021-02-01 09:02:02,バーゲンセール真っ最中！
29,2021-01-31 18:01:09,"いえいえ、あくまでも個人的な見解と経験からです。<(_ _)>

ここ最近の米国市場の不安定、「ワクチン」ネタ、機関が、さらなる株価上昇を期待できる企業の株の買い集め（個人投資家の狼狽売り狙い）、株価調整などで、さらに下落する可能性もあります。
が、私的には、オービックは、紆余曲折を経ながらも、チャートが物語っているように、今後も株価が上昇していくであろうと思っています。"
30,2021-01-30 18:01:05,"ありがとうございます。
持続で行きます。

どんな良い企業でも、全力買いは危険と知りました。
元に戻れば、半分は現金化必要ですね。"
31,2021-01-30 15:03:02,"証券会社のセールストークで、その年のテーマ株をお勧め株として（私の場合は、某黒鉛電極でしたが）、「決算が凄く良いので（日経新聞に掲載）、決算日には株価上げてくると思われます」というのがありますが、後追いしてみたら、機関はすでに決算前に高値で売り抜けており、過去、最高決算を、たたき出しているのにも関わらず、決算当日は、暴落ということが、けっこうあります。
もちろん決算が良かったから、決算日に上げてくる企業、決算悪いのに悪材料出尽くし、今後の期待値で上げてくるところもあったりで、本当に株の値動きは、全く読めません。（機関次第）
が、オービックは、一過性でないまだ成長余地のある超優良企業、チャートも綺麗。去年の米国大統領選の時期も、今回の決算後も心臓に悪い値動きをしてますが、この会社を信じて、握力弱めずホールドしようと思っています。
証券会社のレーティングは、あてにならない事も多いですが（Ｎ社とＤ社は真逆だったり）この先、25000円を目指して期待してます。"
32,2021-01-29 14:03:01,"今日は地合い悪い中、健闘だと思ってました。
このまま持続されますか？"
33,2021-01-29 14:01:02,"ダウ先物が下げて、NK下げてます。
今晩のダウ次第ですが、週明けはもう一段下からのチャレンジになるかも知れません。"
34,2021-01-29 11:01:09,"上がって売れば、良かったのか…
また真っ逆さま⁈

どこかに遊ばれていますね…泣"
35,2021-01-29 09:04:05,コスモ…
36,2021-01-29 09:04:05,"おー‼︎
でも、信じて良いのか、岩井コスモス証券⁈"
37,2021-01-29 09:02:08,"岩井コスモによると 22000円 → 　25000円
らしいよ"
38,2021-01-29 09:01:09,おっ〜⁉︎！
39,2021-01-29 09:01:04,"そーそー
いつもキリンは昨日みたいな雰囲気の時に頑張ってるん"
40,2021-01-29 09:01:00,"ここ最近はここから真っ逆さまでした…泣

今日、キリンさんがお暇になるとは上がるかな〜って感じでしょうか？"
41,2021-01-29 09:00:00,もしかしたら今日は暇になるん？
42,2021-01-29 08:00:01,"今日は伸びますかね…
期待しています。"
43,2021-01-28 19:05:00,"いつも励ましていただき、ありがとうございます。
放置一択…"
44,2021-01-28 18:05:09,"下落トレンドへ
マーケットも飽和状態"
45,2021-01-28 16:04:08,当社は15000くらいの株価が妥当
46,2021-01-28 16:03:02,まだ落ちる
47,2021-01-28 12:01:05,業績は良いので地合などで一喜一憂せずに構えることを決意しました！
48,2021-01-28 10:02:08,"円で持っていても円安になると資産は目減りする
オービック株で持っていて帳簿上では下がっていても
実生活では実害がない
そのうち上がる"
49,2021-01-28 10:02:01,"昨日に続き、放置一択です。
厳しいですね。
悲しい。"
50,2021-01-28 09:01:01,今日も元気に頑張ったけど、どうなるん？
51,2021-01-28 01:03:04,"決算良くて下げると、結果論でよく材料出尽くしと言われる。
そういうケースも確かにあるけど、最近はむしろ機関が安く集めたいから個人の投げを誘って空売りを仕掛けるケースが多い印象。
オービックの場合も後者だね。"
